"","Domain","Phylum","Class","Order","Family","Genus","Species"
"OTU_2766","Bacteria","Chloroflexi","Dehalococcoidia","FW22","Unclassified_FW22","Unclassified_FW22","Unclassified_FW22"
"OTU_2767","Bacteria","Unclassified_Bacteria","Unclassified_Bacteria","Unclassified_Bacteria","Unclassified_Bacteria","Unclassified_Bacteria","Unclassified_Bacteria"
"OTU_2768","Bacteria","Chloroflexi","Anaerolineae","1-20","Unclassified_1-20","Unclassified_1-20","Unclassified_1-20"
"OTU_2769","Bacteria","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae","Unclassified_Latescibacteraceae","Unclassified_Latescibacteraceae"
"OTU_2770","Bacteria","Bacteroidota","Ignavibacteria","Ignavibacteriales","PHOS-HE36","Unclassified_PHOS-HE36","Unclassified_PHOS-HE36"
"OTU_2771","Bacteria","Unclassified_Bacteria","Unclassified_Bacteria","Unclassified_Bacteria","Unclassified_Bacteria","Unclassified_Bacteria","Unclassified_Bacteria"
"OTU_2772","Bacteria","Actinobacteriota","Acidimicrobiia","Actinomarinales","Unclassified_Actinomarinales","Unclassified_Actinomarinales","Unclassified_Actinomarinales"
"OTU_2773","Bacteria","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Unclassified_Pirellulaceae","Unclassified_Pirellulaceae"
"OTU_2774","Bacteria","Proteobacteria","Gammaproteobacteria","Granulosicoccales","Unclassified_Granulosicoccales","Unclassified_Granulosicoccales","Unclassified_Granulosicoccales"
"OTU_2775","Bacteria","Planctomycetota","Pla4 lineage","Unclassified_Pla4 lineage","Unclassified_Pla4 lineage","Unclassified_Pla4 lineage","Unclassified_Pla4 lineage"
"OTU_2776","Bacteria","Proteobacteria","Alphaproteobacteria","Thalassobaculales","Unclassified_Thalassobaculales","Unclassified_Thalassobaculales","Unclassified_Thalassobaculales"
"OTU_2777","Bacteria","Planctomycetota","OM190","Unclassified_OM190","Unclassified_OM190","Unclassified_OM190","Unclassified_OM190"
"OTU_2778","Bacteria","Proteobacteria","Gammaproteobacteria","1013-28-CG33","Unclassified_1013-28-CG33","Unclassified_1013-28-CG33","Unclassified_1013-28-CG33"
"OTU_2779","Bacteria","Spirochaetota","Spirochaetia","Unclassified_Spirochaetia","Unclassified_Spirochaetia","Unclassified_Spirochaetia","Unclassified_Spirochaetia"
"OTU_2780","Bacteria","Proteobacteria","Gammaproteobacteria","Nitrosococcales","Nitrosococcaceae","Unclassified_Nitrosococcaceae","Unclassified_Nitrosococcaceae"
"OTU_2781","Bacteria","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Unclassified_Flavobacteriaceae","Unclassified_Flavobacteriaceae"
"OTU_2782","Bacteria","Unclassified_Bacteria","Unclassified_Bacteria","Unclassified_Bacteria","Unclassified_Bacteria","Unclassified_Bacteria","Unclassified_Bacteria"
"OTU_2783","Bacteria","Proteobacteria","Gammaproteobacteria","B2M28","Unclassified_B2M28","Unclassified_B2M28","Unclassified_B2M28"
"OTU_2785","Bacteria","Nitrospinota","P9X2b3D02","Unclassified_P9X2b3D02","Unclassified_P9X2b3D02","Unclassified_P9X2b3D02","Unclassified_P9X2b3D02"
"OTU_2786","Bacteria","Latescibacterota","Latescibacteria","Latescibacterales","Latescibacteraceae","Candidatus Latescibacter","Unclassified_Candidatus Latescibacter"
"OTU_2787","Bacteria","NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j","Unclassified_NB1-j"
"OTU_2788","Archaea","Nanoarchaeota","Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia","Unclassified_Nanoarchaeia"
"OTU_2789","Bacteria","Spirochaetota","Spirochaetia","Spirochaetales","Unclassified_Spirochaetales","Unclassified_Spirochaetales","Unclassified_Spirochaetales"
"OTU_2790","Bacteria","Proteobacteria","Alphaproteobacteria","AT-s3-44","Unclassified_AT-s3-44","Unclassified_AT-s3-44","Unclassified_AT-s3-44"
"OTU_2791","Bacteria","Planctomycetota","Planctomycetes","Planctomycetales","Gimesiaceae","Unclassified_Gimesiaceae","Unclassified_Gimesiaceae"
"OTU_2792","Bacteria","Fibrobacterota","Fibrobacteria","Fibrobacterales","Fibrobacteraceae","Unclassified_Fibrobacteraceae","Unclassified_Fibrobacteraceae"
"OTU_2793","Bacteria","Proteobacteria","Gammaproteobacteria","Chromatiales","Sedimenticolaceae","Unclassified_Sedimenticolaceae","Unclassified_Sedimenticolaceae"
"OTU_2794","Bacteria","SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)","Unclassified_SAR324 clade(Marine group B)"
