	BG1	BG13	BG7	C13_12	C13_15	C13_2	C13_5	C13_8	C14_10	C14_14	C14_2	C14_5	C15_10	C15_15	C15_2	C15_6	C16_10	C16_14	C16_2	C16_6	C17_2	C17_6	C17_9	C18_12	C18_16	C18_2	C18_4	C18_7	C19_10	C19_12	C19_2	C19_6	C20_10	C20_14	C20_2	C20_6	C21_10	C21_2	C21_4	C21_6	C22_2	C22_4	C22_6	C23_10	C23_2	C23_4	C23_6	C24_10	C24_14	C24_2	C24_4	C24_6	C25_0	C25_10	C25_15	C25_2	C25_6	C26_0	C26_10	C26_15	C26_2	C26_6	C27_10	C27_13	C27_2	C27_6	C28_10	C28_15	C28_2	C28_6	MAT1	MAT2	SG1	SG13	SG7	SSW	TZ1	TZ13	TZ7	TZF	WM1	WM11	WM13	WM3	WM5	WM7	WM9	WMF	blank
OTU_16	8	22	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	25	44	2	7	3	14	20	4	3869	13305	3	66	1470	580	20	0
OTU_17	20	21	29	1	0	0	3	5	0	4	4	24	1	0	1	1	0	0	0	1	0	0	3	11	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	4	1	4	0	0	1	0	0	25	2	1	1	3	27	8	77	45	12	0	6817	2236	1498	1	0	80	12	138	294	39	20	51	24	420	6320	73	981	0	3	11	59	14	11	1	1198	0
OTU_18	67	44	57	2	2	40	12	4	55	91	1	10	17	9	6	1	1	5	1074	3	39	28	27	56	39	49	163	80	0	0	580	6	201	242	344	505	3	542	1015	280	1634	40	16	76	1204	977	325	450	30	596	588	358	112	374	477	197	426	315	4	5	451	40	0	0	0	0	0	0	9	0	0	1	122	25	52	8	284	96	733	68	8	1	2	256	468	21	0	79	0
OTU_19	27	10	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	4	22	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	3	0	0	18	1	2	0	0	39	35	123	18	48	4191	374	911	424	9	4	68	0	116	1531	81	23	32	25	427	757	557	2831	6	0	6	2	2	4	1	3022	0
OTU_20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	8271	1	1568	4745	0	3307	1	0
OTU_21	274	143	134	0	0	12	7	0	9	22	1	3	4	4	0	0	0	0	29	0	7	6	5	3	2	12	26	8	0	0	30	0	20	3	46	46	0	28	25	3	38	0	0	9	42	31	2	48	0	54	53	65	16	7	26	58	43	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	3086	28	388	6	2802	741	20	67	23	0	9	531	12	27	1	106	0
OTU_22	35	27	19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	42	29	29	3	19	12	436	5705	23	16	83	11	93	439	58	7693	0
OTU_23	44	42	55	0	0	0	3	0	0	1	1	0	0	0	0	1	0	1	0	0	0	0	106	8	4	0	0	0	0	0	0	0	13	12	2	13	0	0	0	0	0	0	0	1	1	0	0	89	5	5	2	1	142	6	7	12	4	57	27	125	42	33	0	0	0	74	3	1	42	0	907	289	106	38	86	40	1355	1167	728	4680	10	0	16	2	0	14	0	5159	0
OTU_24	13	10	18	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	37	39	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	2	5	6	3	3	0	0	6816	0	2	0	5590	6	5	0	12	10	16	1	12	14	8	121	5	73	2190	23	53	21	20	139	0
OTU_25	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1861	971	0	552	0	2	3	0	0	0	1	1	1072	1593	1	315	6	510	0	0	585	0	2	97	2	125	1501	1785	0	22	960	92	645	0	0	1	1	60	153	2	12	37	336	694	79	255	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4
