	BG1	BG13	BG7	C13_12	C13_15	C13_2	C13_5	C13_8	C14_10	C14_14	C14_2	C14_5	C15_10	C15_15	C15_2	C15_6	C16_10	C16_14	C16_2	C16_6	C17_2	C17_6	C17_9	C18_12	C18_16	C18_2	C18_4	C18_7	C19_10	C19_12	C19_2	C19_6	C20_10	C20_14	C20_2	C20_6	C21_10	C21_2	C21_4	C21_6	C22_2	C22_4	C22_6	C23_10	C23_2	C23_4	C23_6	C24_10	C24_14	C24_2	C24_4	C24_6	C25_0	C25_10	C25_15	C25_2	C25_6	C26_0	C26_10	C26_15	C26_2	C26_6	C27_10	C27_13	C27_2	C27_6	C28_10	C28_15	C28_2	C28_6	MAT1	MAT2	SG1	SG13	SG7	SSW	TZ1	TZ13	TZ7	TZF	WM1	WM11	WM13	WM3	WM5	WM7	WM9	WMF	blank
OTU_1038	9	0	4	1	8	4	14	7	4	0	13	7	8	7	9	3	0	0	0	0	5	2	10	3	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	87	57	0	2	2	0	3	1	0	1	0	0	1	0	1	0
OTU_1039	2	32	3	0	1	4	5	5	11	2	1	5	9	4	2	0	0	0	0	0	5	10	13	6	1	0	4	3	0	0	0	0	1	0	8	1	0	1	0	0	0	0	0	0	0	0	0	22	0	3	7	8	8	0	1	50	23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	4	2	0	0	0	0	3	0	0	0	0	0	0	0	5	0
OTU_1040	36	14	25	0	0	3	5	1	3	3	2	2	13	1	2	0	0	0	0	0	6	7	3	0	0	6	9	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	7	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	2	18	0	4	0	0	3	0	0	0	0	0	0	0	3	0
OTU_1041	0	7	19	2	2	0	1	6	3	1	3	2	2	0	1	2	0	0	0	0	0	3	0	1	0	0	0	1	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	43	103	0	0	3	0	8	0	0	0	0	0	0	0	4	0
OTU_1042	17	61	116	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	1	1	0	0	0	0	0	0	2	0	1	0
OTU_1043	75	2	2	0	1	0	1	0	0	14	0	0	1	3	0	0	0	0	0	0	5	0	3	0	0	7	2	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	8	0	0	5	4	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	56	2	5	2	8	6	0	3	1	0	0	7	0	0	0	4	0
OTU_1044	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	119	56	0	25	0	0	0	0	0	0	0	0	13	32	0	1	0	4	0	0	5	0	0	0	0	0	0	0	0	0	6	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1045	66	15	40	0	0	1	4	2	4	2	0	1	9	2	0	2	0	0	0	0	5	3	0	1	0	3	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	3	4	0	3	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50	1	21	1	9	5	0	3	2	0	0	1	0	1	0	2	0
OTU_1046	14	1	1	3	3	0	2	0	3	16	2	2	3	3	2	1	0	0	1	0	5	1	2	5	9	12	14	3	0	0	0	0	11	0	22	13	0	0	0	0	0	0	0	0	0	0	0	1	0	21	21	21	9	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	1	3	1	0	0	2	0	0	0	0	0	0	0	0	2	0
OTU_1047	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	110	2	0	136	11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1048	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	4	0	0	0	0	0	0	0	0	0	0	0	0	0	11	0	0	0	0	4	40	2	0	0	0	0	7	34	6	15	1	0	0	0	1	6	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	5	1	2	0	1	0	126	8	1	0	0	0	2	0	0	4	0
OTU_1049	2	0	13	8	6	8	25	18	23	8	16	4	46	6	1	6	0	0	0	0	14	11	15	2	0	8	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	2	1	1	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	2	10	0	0	0	0	0	0	0	0	0	0	1	0	2	0
OTU_1050	8	108	54	14	16	20	29	34	25	4	58	53	15	2	41	27	0	0	3	0	10	11	19	59	21	8	9	5	0	0	0	0	7	26	2	12	0	0	0	0	1	0	0	0	1	1	0	8	1	7	14	5	1	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	21	29	58	0	13	5	3	15	1	0	0	0	0	2	0	13	0
OTU_1051	4	1	1	4	1	8	3	6	14	6	10	8	19	4	10	2	0	0	0	0	9	4	7	28	13	4	7	11	0	0	0	0	1	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	2	21	1	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	26	26	0	1	0	1	0	0	0	1	0	0	1	0	2	0
OTU_1052	1	0	1	0	1	5	2	0	6	31	2	1	2	0	0	0	0	0	2	0	3	1	0	7	5	32	10	7	0	0	0	0	2	0	10	17	0	2	0	0	0	0	0	0	5	0	0	0	1	28	34	24	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	2	0	2	1	0	1	0	0	0	8	0	1	0	0	0
OTU_1053	0	0	0	0	0	0	0	0	1	2	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	1	1	0	0	0	0	1	0	5	6	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10	14	212	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1054	0	6	8	2	3	0	6	7	3	0	8	11	2	0	19	4	0	0	0	48	0	0	0	10	7	0	0	0	0	0	0	0	1	27	0	0	0	0	0	3	0	0	0	0	0	6	4	6	57	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	12	0	0	2	1	1	0	0	0	0	0	1	0	1	0
OTU_1055	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	161	18	0	13	0	0	0	0	0	0	0	1	1	42	2	0	0	0	7	0	0	0	0	0	0	1	3	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1056	65	2	132	0	1	0	3	1	3	0	0	1	2	2	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	2	15	0	6	1	0	2	0	0	0	0	0	0	0	1	0
OTU_1057	28	1	7	50	69	63	67	87	114	190	118	79	46	21	81	44	0	1	4	0	77	47	37	127	19	204	65	74	0	0	4	0	0	0	8	16	0	6	2	0	3	0	0	0	6	1	0	1	0	30	63	31	12	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	80	3	8	1	34	13	0	1	1	0	0	0	0	2	0	0	0
OTU_1058	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	8	2	2	0	0	0	2	8	2	0	0	0	0	0	30	33	0	39	3	10	0	43	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1059	109	5	31	0	1	0	0	2	3	2	0	2	2	0	1	0	0	1	0	0	3	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	4	4	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	5	6	1	13	9	4	6	0	0	1	0	0	1	0	6	0
OTU_1060	30	0	19	2	5	5	1	8	6	1	8	11	1	3	7	9	0	0	0	0	1	2	2	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	4	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	6	15	1	1	0	0	1	0	0	0	0	0	0	0	1	0
OTU_1061	14	1	15	0	0	4	0	0	2	8	0	1	3	4	0	0	0	0	3	0	4	2	3	6	4	7	8	3	0	0	4	0	9	0	13	16	0	9	8	0	3	0	0	0	6	3	0	0	0	12	9	5	3	0	2	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	41	1	14	0	34	7	1	2	0	0	0	1	0	1	0	5	0
OTU_1062	3	22	9	10	8	3	12	14	12	1	15	47	7	0	39	9	0	0	0	0	0	5	4	13	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	6	27	0	2	0	0	2	0	0	0	0	0	1	0	4	0
OTU_1063	6	0	5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	87	121	0	2	2	1	9	1	0	0	0	0	5	0	5	0
OTU_1065	3	8	5	1	4	3	4	6	9	0	7	7	3	0	6	7	0	0	0	0	1	0	1	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	96	73	0	1	1	1	2	0	0	0	0	0	0	0	3	0
OTU_1066	107	21	30	0	0	5	3	4	1	2	3	2	7	3	2	2	0	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	2	4	0	5	1	0	0	0	0	0	0	0	1	0	2	0
OTU_1067	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	23	0	6	0	0	0	0	0	0	0	0	25	34	0	3	0	1	0	0	9	0	0	1	0	55	0	45	0	0	15	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1068	28	3	2	0	0	1	0	0	3	3	0	0	2	4	0	0	0	0	0	0	0	2	0	1	0	5	9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62	2	8	1	35	11	3	4	0	0	0	5	0	0	0	5	0
OTU_1069	11	35	54	1	4	2	2	5	5	2	9	5	2	2	2	1	0	0	0	0	1	0	4	8	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18	43	28	0	4	0	1	1	0	0	0	0	0	0	0	4	0
OTU_1070	2	0	27	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	4	217	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0
OTU_1071	0	1	2	1	0	1	2	0	3	5	0	0	5	3	0	1	0	1	2	0	3	0	0	0	0	4	0	1	0	0	13	0	21	48	1	3	0	1	1	0	26	0	0	2	9	3	0	0	0	1	11	39	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	0	0	2	0	0	4	0	0	0	0	0	0	0	7	0
OTU_1072	53	54	62	2	3	0	1	2	2	0	1	1	10	3	3	0	0	0	0	0	4	3	4	0	0	2	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	3	12	0	1	3	1	2	0	0	0	0	0	4	0	2	0
OTU_1073	4	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	24	11	3	2	0	0	1	0	0	29	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	51	10	7	4	3	1	13	8	2	43	0	0	0	0	0	3	0	33	0
OTU_1075	117	6	44	2	0	3	1	0	3	1	0	1	2	3	1	0	0	0	0	0	3	1	3	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25	9	9	1	18	5	2	5	1	0	0	1	0	0	0	4	0
OTU_1076	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	57	182	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2
OTU_1077	120	4	18	0	0	0	1	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	3	0	0	4	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	68	1	6	3	22	2	3	3	0	0	1	0	0	2	0	5	0
OTU_1078	3	3	14	1	7	4	8	3	0	10	1	5	8	4	11	4	0	0	0	0	6	3	5	13	2	4	10	9	0	0	0	0	0	0	3	7	0	0	0	0	1	0	0	0	0	0	0	1	0	16	26	13	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	16	9	7	0	7	1	0	6	1	0	1	0	0	0	0	8	0
OTU_1079	28	2	3	1	0	1	2	0	3	35	0	1	1	2	0	0	0	0	1	0	8	2	0	1	1	22	6	3	0	0	0	0	4	0	8	1	0	2	1	1	1	0	0	1	1	0	0	1	0	2	0	0	22	0	0	2	1	0	0	0	0	0	0	0	0	0	0	6	0	0	1	0	71	1	4	3	45	16	2	9	0	0	0	2	0	2	0	13	0
OTU_1080	4	41	14	0	5	4	4	2	4	0	39	5	7	1	7	5	0	0	0	0	0	0	0	13	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	7	101	0	1	1	0	2	0	0	0	0	0	2	0	2	0
OTU_1081	4	2	4	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	2	0	0	0	1	0	1	0	18	22	0	0	0	0	0	0	0	4	1	0	0	0	0	11	8	31	14	0	0	8	1	1	0	0	0	0	0	0	9	0	0	0	0	0	4	0	9	1	6	0	47	24	2	10	2	1	0	14	0	1	0	3	0
OTU_1082	4	0	0	0	0	10	5	0	4	62	1	0	3	24	0	0	0	0	0	0	33	12	6	0	0	32	28	6	0	0	1	0	0	0	2	2	0	0	0	0	2	0	0	0	1	0	0	0	0	3	0	2	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1083	5	3	2	0	0	0	0	0	0	0	52	55	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	4	122	0	6	7	0	0	0	0	0	0	0	1	0	2	0
OTU_1084	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	48	55	0	4	0	0	0	0	0	0	0	0	22	76	0	12	1	3	0	0	21	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1085	131	6	62	0	0	1	1	0	1	0	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36	0	8	2	17	7	0	8	0	0	0	0	0	0	0	3	0
OTU_1086	0	32	20	3	12	3	7	9	8	0	11	8	6	0	31	12	0	0	0	0	1	6	3	10	7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	47	17	0	1	3	0	3	0	0	1	0	0	0	0	1	0
OTU_1087	62	5	41	0	1	2	7	3	3	2	3	2	2	0	4	2	0	0	1	0	3	1	3	3	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	0	3	2	0	0	8	1	5	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	6	11	0	7	3	0	1	0	0	1	0	0	0	0	1	0
OTU_1088	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	5	2	0	1	0	1	0	32	0	1	0	0	0	0	0	4	0	125	0	0	0	29	28	0	2	0	0	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_1089	6	8	3	2	1	0	0	0	2	0	15	2	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	1	186	2	0	6	0	5	1	0	0	0	0	2	0	10	0
OTU_1090	17	12	1	3	5	5	2	6	13	17	6	8	5	9	10	1	0	0	0	0	3	3	0	7	5	8	7	4	0	0	0	0	0	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	7	9	9	1	3	0	17	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28	2	4	0	6	7	0	0	1	0	0	0	0	0	0	0	0
OTU_1091	0	7	23	2	1	10	6	6	8	2	7	5	9	6	6	8	0	0	0	0	14	6	9	10	3	1	1	0	0	0	0	0	1	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	4	5	0	4	1	0	0	0	0	0	0	0	0	0	2	0
OTU_1092	0	7	2	4	6	14	15	9	20	2	9	7	13	10	6	1	0	0	0	0	11	7	12	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	12	0	0	1	0	1	0	0	0	0	0	0	0	2	0
OTU_1093	1	43	11	4	5	3	13	11	5	1	19	17	3	0	19	5	0	0	0	0	1	0	4	15	4	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	5	53	1	1	0	0	1	0	0	0	0	0	0	0	1	0
OTU_1094	11	11	178	0	0	0	1	0	2	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	14	8	0	5	2	0	1	3	0	0	0	0	2	0	3	0
OTU_1095	6	53	18	2	2	0	1	5	1	0	6	3	1	0	6	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	38	48	0	3	1	0	4	0	0	0	0	0	0	0	3	0
OTU_1096	1	0	0	13	6	4	27	24	7	0	31	17	9	0	8	13	0	0	14	0	2	5	3	19	6	0	8	6	0	0	0	1	0	0	0	1	0	9	4	0	0	0	0	0	8	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	1	0	0	0	0	0	0	4	0
OTU_1097	2	40	59	2	0	1	1	4	0	1	8	5	6	0	4	0	0	0	1	0	2	3	2	4	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	10	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	11	73	26	1	2	1	0	2	0	0	0	0	0	2	0	2	0
OTU_1098	2	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	1	3	1	22	26	6	94	0	0	1	0	0	0	0	107	0
OTU_1099	2	25	6	3	5	7	15	10	7	0	9	11	15	1	15	7	0	0	0	0	3	6	1	4	2	1	2	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	49	8	0	1	1	2	1	0	0	0	0	0	0	0	0	0
OTU_1100	0	7	5	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	1	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	5	0	1	4	1	100	0	0	0	0	0	3	0	110	0
OTU_1101	20	46	79	0	2	1	3	1	0	1	0	5	4	1	5	1	0	0	0	0	1	0	3	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35	22	17	0	5	2	1	2	1	0	1	0	0	3	2	3	0
OTU_1103	8	17	10	4	1	9	11	4	17	16	1	3	43	6	6	1	0	0	0	0	21	13	24	1	0	12	12	5	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	12	0	4	0	0	1	1	0	1	0	0	0	0	0	0	1	0
OTU_1104	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	2	1	1	251	0	0	0	0	0	0	2	0
OTU_1105	2	0	0	0	0	0	0	0	1	2	0	0	0	1	0	0	2	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	1	0	0	0	5	0	0	1	2	0	1	0	0	0	0	0	1	0	0	3	1	0	0	0	0	64	7	13	20	7	19	1	1	1	0	2	15	0	0	50	19	0	0	0	0	0	2	0	14	0
OTU_1106	8	7	8	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	6	0	0	2	0	0	0	0	0	1	0	2	0	2	0	1	1	0	1	0	0	15	7	6	4	5	7	0	0	10	3	5	49	2	1	2	42	2	0	1	0	0	1	0	53	0
OTU_1107	94	70	37	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33	2	12	0	6	1	0	1	0	0	0	0	0	3	0	2	0
OTU_1108	50	64	16	1	0	2	1	0	0	1	1	0	2	0	0	1	0	0	0	0	1	3	3	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	17	0	2	4	1	1	0	0	0	0	0	0	0	2	0
OTU_1109	4	76	14	1	4	1	5	2	4	2	15	1	11	1	5	4	0	0	0	0	1	1	7	3	2	1	2	0	0	0	0	0	0	26	0	0	0	1	1	2	1	0	0	0	0	0	0	2	1	1	2	0	0	1	1	0	1	2	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	10	16	1	2	3	0	2	5	0	0	0	3	2	0	2	0
OTU_1110	0	0	0	0	1	0	0	0	0	0	0	0	2	0	1	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	9	48	1	2	0	0	8	13	0	0	0	0	0	7	2	90	71	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1111	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	46	126	29	0	0	0	8	29	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1112	1	1	0	9	18	0	12	37	13	0	31	14	11	0	14	15	0	0	0	0	0	2	10	7	1	1	4	5	0	0	0	0	3	0	0	7	0	1	0	3	0	0	0	0	0	4	0	3	1	6	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3	1	1	0	0	0	3	0	0	0	0	0	0	0	6	0
OTU_1113	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	40	0	0	7	0	0	0	0	0	0	0	0	1	0	0	10	0	9	0	0	46	0	2	4	0	0	0	0	0	7	12	6	25	0	0	0	1	12	29	8	9	2	11	0	7	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
