	Domain	Phylum	Class	Order	Family	Genus	Species
OTU_4313	Bacteria	Proteobacteria	Alphaproteobacteria	Defluviicoccales	Defluviicoccaceae		
OTU_4314	Bacteria	Proteobacteria	Alphaproteobacteria				
OTU_4315	Bacteria	Planctomycetota	Planctomycetes	Pirellulales			
OTU_4316	Bacteria	Myxococcota	Polyangia	VHS-B3-70			
OTU_4317	Bacteria	Planctomycetota	OM190				
OTU_4318	Bacteria	Gemmatimonadota	BD2-11 terrestrial group				
OTU_4319	Bacteria	Proteobacteria	Alphaproteobacteria	Micavibrionales			
OTU_4320	Archaea	Nanoarchaeota	Nanoarchaeia				
OTU_4321	Archaea	Nanoarchaeota	Nanoarchaeia	Woesearchaeales			
OTU_4322	Bacteria	Planctomycetota	OM190				
OTU_4323	Bacteria	Desulfobacterota	Desulfobulbia	Desulfobulbales			
OTU_4324	Bacteria	Proteobacteria	Alphaproteobacteria	Caulobacterales	Parvularculaceae		
OTU_4325	Bacteria	Desulfobacterota	Desulfobacteria	Desulfobacterales	Desulfosarcinaceae		
OTU_4326	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae	Rhodopirellula	
OTU_4327	Archaea	Nanoarchaeota					
OTU_4328	Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae		
OTU_4329	Bacteria	Gemmatimonadota	BD2-11 terrestrial group				
OTU_4330	Archaea						
OTU_4331	Bacteria	Chloroflexi	Anaerolineae	Anaerolineales	Anaerolineaceae		
OTU_4332	Bacteria	NB1-j					
OTU_4333	Bacteria	Gemmatimonadota	PAUC43f marine benthic group				
OTU_4334	Bacteria	Chloroflexi	Dehalococcoidia				
OTU_4335	Archaea	Nanoarchaeota	Nanoarchaeia				
OTU_4336	Bacteria	LCP-89					
OTU_4337	Bacteria	Latescibacterota	Latescibacteria	Latescibacterales			
OTU_4338	Bacteria	Myxococcota	Polyangia	Nannocystales			
OTU_4339	Bacteria	Planctomycetota	Pla4 lineage				
OTU_4340	Bacteria	Planctomycetota					
OTU_4341	Bacteria	Planctomycetota	Pla3 lineage				
OTU_4342	Bacteria	Calditrichota	Calditrichia	Calditrichales	Calditrichaceae		
OTU_4343	Archaea	Halobacterota	Archaeoglobi	Archaeoglobales	Archaeoglobaceae		
OTU_4344	Bacteria	Acidobacteriota	Acidobacteria group 22				
OTU_4345	Bacteria	Schekmanbacteria					
OTU_4346	Bacteria	Latescibacterota	Latescibacteria	Latescibacterales	Latescibacteraceae		
OTU_4347	Bacteria	Planctomycetota	Planctomycetes	Pirellulales	Pirellulaceae		
